AI & ML,Easy,What is training in ML?,Teaching model using data,Testing software,Installing program,Collecting hardware,Teaching model using data,Model learns patterns
AI & ML,Easy,What is testing in ML?,Evaluating trained model,Training model,Creating dataset,Cleaning data,Evaluating trained model,Measures performance
AI & ML,Easy,What is prediction?,Output generated by model,Input feature,Training data,Database query,Output generated by model,Result of inference
AI & ML,Easy,What is accuracy?,Percentage of correct predictions,Training speed,Memory usage,Dataset size,Percentage of correct predictions,Common evaluation metric
AI & ML,Easy,What is Deep Learning?,Subset of ML using neural networks,Database management,System programming,Networking,Subset of ML using neural networks,Uses multiple layers
AI & ML,Easy,What is a Neural Network?,Model inspired by human brain,Database structure,Programming language,Operating system,Model inspired by human brain,Core of deep learning
AI & ML,Easy,What is TensorFlow?,Machine learning framework,Database system,Programming language,Web browser,Machine learning framework,Developed by Google
AI & ML,Easy,Who developed TensorFlow?,Google,Microsoft,IBM,Amazon,Google,Popular deep learning framework
AI & ML,Easy,What is Keras?,Deep learning API,Database system,Programming language,Web framework,Deep learning API,Runs on TensorFlow
AI & ML,Easy,What is OpenCV used for?,Computer Vision,Database Management,Web Development,Networking,Computer Vision,Image and video processing
AI & ML,Easy,What is NLP?,Natural Language Processing,Neural Learning Program,Network Logic Protocol,Natural Logic Process,Natural Language Processing,Helps computers understand language
AI & ML,Easy,Which AI field deals with text and speech?,NLP,Computer Vision,Robotics,Cyber Security,NLP,Processes human language
AI & ML,Easy,What is Computer Vision?,Teaching computers to understand images,Database optimization,Network communication,System programming,Teaching computers to understand images,Image recognition field
AI & ML,Easy,What is Robotics?,AI used in robots,Database management,Cloud computing,Web development,AI used in robots,Combines AI and hardware
AI & ML,Easy,What is an Algorithm?,Step-by-step procedure,Programming language,Database,Hardware device,Step-by-step procedure,Solution method
AI & ML,Easy,What is Regression?,Predicting continuous values,Grouping data,Classification task,Sorting algorithm,Predicting continuous values,Used for numerical prediction
AI & ML,Easy,What is Classification?,Predicting categories,Predicting numbers,Grouping data,Sorting data,Predicting categories,Assigns labels
AI & ML,Easy,What is Clustering?,Grouping similar data points,Predicting values,Classification,Sorting data,Grouping similar data points,Unsupervised learning task
AI & ML,Easy,Which algorithm predicts house prices?,Linear Regression,K-Means,Apriori,DBSCAN,Linear Regression,Regression problem
AI & ML,Easy,What is overfitting?,Model learns training data too well,Model performs perfectly,Model trains quickly,Model ignores data,Model learns training data too well,Poor generalization
AI & ML,Easy,What is underfitting?,Model fails to learn patterns,Model learns too much,Model trains slowly,Model has many layers,Model fails to learn patterns,Low accuracy
AI & ML,Easy,What is bias in ML?,Error due to wrong assumptions,Data storage issue,Network error,Programming bug,Error due to wrong assumptions,Affects predictions
AI & ML,Easy,What is variance in ML?,Model sensitivity to data changes,Memory usage,Training speed,Dataset size,Model sensitivity to data changes,Can cause overfitting
AI & ML,Easy,What is training data?,Data used to train model,Data used only for testing,Backup data,Corrupted data,Data used to train model,Helps model learn
AI & ML,Easy,What is test data?,Data used for evaluation,Data used for training,Backup data,Deleted data,Data used for evaluation,Measures performance
AI & ML,Easy,What is validation data?,Data used for tuning model,Training data,Output data,Database data,Data used for tuning model,Helps select best model
AI & ML,Easy,What is Data Science?,Extracting insights from data,Web design,Networking,System administration,Extracting insights from data,Uses statistics and ML
AI & ML,Easy,What is Data Preprocessing?,Cleaning and preparing data,Training model,Deploying model,Creating hardware,Cleaning and preparing data,Improves data quality
AI & ML,Easy,What is Missing Data?,Unavailable values in dataset,Duplicate values,Correct values,Sorted values,Unavailable values in dataset,Needs handling
AI & ML,Easy,What is Feature Selection?,Choosing important features,Creating features,Deleting dataset,Training model,Choosing important features,Improves efficiency
AI & ML,Easy,What is Feature Engineering?,Creating useful features from data,Deleting features,Compressing data,Sorting features,Creating useful features from data,Improves model performance
AI & ML,Easy,What is AI Ethics?,Responsible use of AI,AI hardware design,AI programming language,AI database,Responsible use of AI,Ensures fairness and safety


AI & ML,Medium,What is Linear Regression?,Algorithm for predicting continuous values,Clustering algorithm,Classification algorithm,Sorting algorithm,Algorithm for predicting continuous values,Used for numerical prediction
AI & ML,Medium,What is Logistic Regression?,Classification algorithm,Regression algorithm only,Clustering algorithm,Reinforcement algorithm,Classification algorithm,Used for binary classification
AI & ML,Medium,What is the output of Logistic Regression?,Probability,Continuous value,Cluster ID,Decision tree,Probability,Usually between 0 and 1
AI & ML,Medium,What is the cost function in Linear Regression?,Mean Squared Error,Cross Entropy,Gini Index,Entropy,Mean Squared Error,Measures prediction error
AI & ML,Medium,What is Gradient Descent?,Optimization algorithm,Clustering technique,Data cleaning method,Feature selection method,Optimization algorithm,Used to minimize loss
AI & ML,Medium,What is Learning Rate?,Step size in optimization,Dataset size,Model accuracy,Number of features,Step size in optimization,Controls convergence speed
AI & ML,Medium,What happens if learning rate is too high?,Model may not converge,Training becomes perfect,Accuracy becomes 100%,No effect,Model may not converge,Overshoots minimum
AI & ML,Medium,What is Decision Tree?,Tree-based prediction model,Database structure,Neural network,Sorting algorithm,Tree-based prediction model,Used for classification and regression
AI & ML,Medium,What is the root node in a Decision Tree?,Topmost node,Leaf node,Child node,Internal node,Topmost node,Starting point of tree
AI & ML,Medium,What is a leaf node?,Final prediction node,Root node,Parent node,Feature node,Final prediction node,Contains output
AI & ML,Medium,What is Random Forest?,Collection of decision trees,Single decision tree,Neural network,Clustering algorithm,Collection of decision trees,Ensemble learning method
AI & ML,Medium,What is Ensemble Learning?,Combining multiple models,Using one model,Data cleaning process,Feature engineering,Combining multiple models,Improves accuracy
AI & ML,Medium,What is Bagging?,Training models on random subsets,Feature scaling,Data cleaning,Model deployment,Training models on random subsets,Used in Random Forest
AI & ML,Medium,What is Boosting?,Sequentially improving weak learners,Clustering technique,Database optimization,Feature selection,Sequentially improving weak learners,Example: AdaBoost
AI & ML,Medium,What is Support Vector Machine (SVM)?,Classification algorithm,Clustering algorithm,Database algorithm,Sorting algorithm,Classification algorithm,Finds optimal hyperplane
AI & ML,Medium,What is a Hyperplane?,Decision boundary,Neural layer,Database table,Feature vector,Decision boundary,Separates classes
AI & ML,Medium,What is K-Nearest Neighbors (KNN)?,Instance-based learning algorithm,Neural network,Decision tree,Regression only,Instance-based learning algorithm,Uses nearest neighbors
AI & ML,Medium,What does K represent in KNN?,Number of neighbors,Number of features,Number of classes,Dataset size,Number of neighbors,Affects predictions
AI & ML,Medium,What is Euclidean Distance?,Distance measure between points,Optimization function,Activation function,Loss function,Distance measure between points,Used in KNN
AI & ML,Medium,What is Feature Scaling?,Standardizing feature values,Deleting features,Creating features,Sorting features,Standardizing feature values,Improves model performance
AI & ML,Medium,What is Normalization?,Scaling values to fixed range,Removing duplicates,Reducing dimensions,Increasing features,Scaling values to fixed range,Often between 0 and 1
AI & ML,Medium,What is Standardization?,Transforming data to mean 0 and std 1,Removing noise,Scaling to 0-1,Encoding categories,Transforming data to mean 0 and std 1,Common preprocessing step
AI & ML,Medium,What is Cross Validation?,Technique for model evaluation,Data cleaning method,Feature engineering,Deployment process,Technique for model evaluation,Tests model robustness
AI & ML,Medium,What is K-Fold Cross Validation?,Data split into K parts,Data duplication,Feature scaling method,Clustering technique,Data split into K parts,Repeated training and testing
AI & ML,Medium,What is Confusion Matrix?,Table for classification evaluation,Database table,Feature matrix,Neural network layer,Table for classification evaluation,Shows prediction results
AI & ML,Medium,What is Precision?,Correct positive predictions divided by total predicted positives,Overall accuracy,Correct negatives only,Training score,Correct positive predictions divided by total predicted positives,Measures prediction quality
AI & ML,Medium,What is Recall?,Correct positive predictions divided by actual positives,Overall accuracy,False positives,Training loss,Correct positive predictions divided by actual positives,Measures completeness
AI & ML,Medium,What is F1-Score?,Harmonic mean of Precision and Recall,Average accuracy,Loss function,Activation function,Harmonic mean of Precision and Recall,Balances precision and recall
AI & ML,Medium,What is ROC Curve?,Graph of TPR vs FPR,Loss graph,Accuracy graph,Feature graph,Graph of TPR vs FPR,Evaluates classifiers
AI & ML,Medium,What is AUC?,Area Under ROC Curve,Average Utility Cost,Artificial Unit Classifier,Accuracy Utility Curve,Area Under ROC Curve,Higher is better
AI & ML,Medium,What is Dimensionality Reduction?,Reducing number of features,Increasing features,Removing labels,Data duplication,Reducing number of features,Simplifies models
AI & ML,Medium,Which algorithm is commonly used for dimensionality reduction?,PCA,KNN,SVM,Decision Tree,PCA,Principal Component Analysis
AI & ML,Medium,What does PCA stand for?,Principal Component Analysis,Primary Classification Algorithm,Pattern Clustering Analysis,Predictive Component Analysis,Principal Component Analysis,Reduces dimensions
AI & ML,Medium,What is Feature Extraction?,Creating new features from existing data,Deleting features,Scaling features,Sorting features,Creating new features from existing data,Improves model quality
AI & ML,Medium,What is One-Hot Encoding?,Converting categorical data into binary vectors,Scaling data,Removing duplicates,Normalizing data,Converting categorical data into binary vectors,Used for ML preprocessing
AI & ML,Medium,What is Label Encoding?,Converting categories to numbers,Removing labels,Scaling features,Creating labels,Converting categories to numbers,Useful for categorical data
AI & ML,Medium,What is Data Leakage?,Using information unavailable during prediction,Data duplication,Missing values,Incorrect labels,Using information unavailable during prediction,Leads to misleading performance
AI & ML,Medium,What is Class Imbalance?,Unequal distribution of classes,Equal class distribution,Feature scaling issue,Model deployment issue,Unequal distribution of classes,Can affect model accuracy
AI & ML,Medium,What is Oversampling?,Increasing minority class samples,Removing features,Scaling data,Reducing dimensions,Increasing minority class samples,Balances dataset
AI & ML,Medium,What is Undersampling?,Reducing majority class samples,Adding features,Scaling values,Encoding categories,Reducing majority class samples,Balances classes
AI & ML,Medium,What is Grid Search?,Hyperparameter tuning technique,Feature selection method,Clustering algorithm,Loss function,Hyperparameter tuning technique,Tests parameter combinations
AI & ML,Medium,What is Hyperparameter?,Parameter set before training,Learned parameter,Output value,Feature value,Parameter set before training,Tuned manually or automatically
AI & ML,Medium,What is Model Tuning?,Optimizing model parameters,Cleaning data,Deploying model,Collecting data,Optimizing model parameters,Improves performance
AI & ML,Medium,What is Regularization?,Technique to reduce overfitting,Increase overfitting,Scale features,Normalize data,Technique to reduce overfitting,Improves generalization
AI & ML,Medium,Which regularization uses absolute values?,L1 Regularization,L2 Regularization,Dropout,Batch Norm,L1 Regularization,Also called Lasso
AI & ML,Medium,Which regularization uses squared values?,L2 Regularization,L1 Regularization,Dropout,PCA,L2 Regularization,Also called Ridge
AI & ML,Medium,What is Bias-Variance Tradeoff?,Balancing underfitting and overfitting,Data scaling technique,Feature engineering method,Loss optimization,Balancing underfitting and overfitting,Key ML concept
AI & ML,Medium,What is Online Learning?,Model learns continuously from new data,Offline training only,Batch processing,Data cleaning,Model learns continuously from new data,Useful for streaming data
AI & ML,Medium,What is Batch Learning?,Model trained on entire dataset at once,Online learning,Reinforcement learning,Transfer learning,Model trained on entire dataset at once,Traditional ML approach
AI & ML,Medium,What is Transfer Learning?,Using knowledge from one model for another task,Moving datasets,Feature scaling,Model deletion,Using knowledge from one model for another task,Saves training time


AI & ML,Hard,What is a Neural Network Layer?,Collection of neurons performing computations,Database layer,Network protocol,Memory layer,Collection of neurons performing computations,Building block of neural networks
AI & ML,Hard,What is an Input Layer?,First layer receiving data,Last layer,Hidden layer,Output layer,First layer receiving data,Accepts features
AI & ML,Hard,What is a Hidden Layer?,Intermediate layer between input and output,Input layer,Output layer,Database layer,Intermediate layer between input and output,Performs transformations
AI & ML,Hard,What is an Output Layer?,Final layer producing prediction,Input layer,Hidden layer,Data layer,Final layer producing prediction,Returns model result
AI & ML,Hard,What is an Activation Function?,Function introducing non-linearity,Loss function,Optimizer,Feature selector,Function introducing non-linearity,Enables complex learning
AI & ML,Hard,Which activation function outputs values between 0 and 1?,Sigmoid,ReLU,Tanh,Softmax,Sigmoid,Common in binary classification
AI & ML,Hard,Which activation function returns max(0,x)?,ReLU,Sigmoid,Tanh,Linear,ReLU,Widely used in deep learning
AI & ML,Hard,What does ReLU stand for?,Rectified Linear Unit,Reduced Learning Unit,Regression Linear Unit,Recursive Logic Unit,Rectified Linear Unit,Popular activation function
AI & ML,Hard,What is Tanh?,Activation function ranging from -1 to 1,Loss function,Optimizer,Regularization method,Activation function ranging from -1 to 1,Hyperbolic tangent
AI & ML,Hard,What is Softmax used for?,Multi-class classification output,Regression output,Clustering,Feature scaling,Multi-class classification output,Produces probabilities
AI & ML,Hard,What is Backpropagation?,Algorithm for training neural networks,Clustering method,Data cleaning process,Feature selection method,Algorithm for training neural networks,Updates weights
AI & ML,Hard,What is a Weight in Neural Networks?,Parameter controlling input importance,Feature value,Dataset row,Activation function,Parameter controlling input importance,Learned during training
AI & ML,Hard,What is a Bias in Neural Networks?,Additional trainable parameter,Dataset error,Loss value,Output label,Additional trainable parameter,Shifts activation function
AI & ML,Hard,What is Epoch?,One complete pass through training data,Single prediction,Hidden layer,Batch size,One complete pass through training data,Training iteration
AI & ML,Hard,What is Batch Size?,Number of samples processed before weight update,Dataset size,Feature count,Neuron count,Number of samples processed before weight update,Affects training speed
AI & ML,Hard,What is Stochastic Gradient Descent (SGD)?,Gradient descent using one sample at a time,Using full dataset,Clustering method,Feature selection,Gradient descent using one sample at a time,Faster updates
AI & ML,Hard,What is Mini-Batch Gradient Descent?,Uses small groups of samples,Uses entire dataset,Uses one sample only,No training,Uses small groups of samples,Common optimization method
AI & ML,Hard,What is Loss Function?,Measures prediction error,Activation function,Optimizer,Feature selector,Measures prediction error,Guides learning
AI & ML,Hard,Which loss is common for classification?,Cross Entropy Loss,MSE,MAE,RMSE,Cross Entropy Loss,Measures classification error
AI & ML,Hard,Which loss is common for regression?,Mean Squared Error,Cross Entropy,Hinge Loss,Log Loss,Mean Squared Error,Measures squared prediction error
AI & ML,Hard,What is Overfitting in Deep Learning?,Model memorizes training data,Model learns nothing,Model trains quickly,Model uses fewer features,Model memorizes training data,Poor test performance
AI & ML,Hard,What is Dropout?,Regularization technique that randomly disables neurons,Optimizer,Loss function,Feature selector,Regularization technique that randomly disables neurons,Reduces overfitting
AI & ML,Hard,What is Batch Normalization?,Normalizes activations during training,Data cleaning,Feature scaling only,Clustering method,Normalizes activations during training,Improves convergence
AI & ML,Hard,What is CNN?,Convolutional Neural Network,Computer Neural Node,Central Neural Network,Connected Neural Net,Convolutional Neural Network,Used in image processing
AI & ML,Hard,What is Convolution in CNN?,Operation extracting features from input,Loss calculation,Weight initialization,Model evaluation,Operation extracting features from input,Detects patterns
AI & ML,Hard,What is Pooling in CNN?,Reducing feature map dimensions,Increasing image size,Adding neurons,Training optimization,Reducing feature map dimensions,Reduces computation
AI & ML,Hard,Which pooling method selects maximum value?,Max Pooling,Average Pooling,Min Pooling,Global Pooling,Max Pooling,Most common pooling method
AI & ML,Hard,What is RNN?,Recurrent Neural Network,Random Neural Network,Recursive Neural Network,Regression Neural Network,Recurrent Neural Network,Used for sequential data
AI & ML,Hard,What is LSTM?,Long Short-Term Memory,Linear State Transfer Model,Long Sequence Training Method,Learning State Transition Machine,Long Short-Term Memory,Special type of RNN
AI & ML,Hard,What problem does LSTM solve?,Vanishing Gradient Problem,Overfitting,Underfitting,Class imbalance,Vanishing Gradient Problem,Handles long-term dependencies
AI & ML,Hard,What is GRU?,Gated Recurrent Unit,General Recursive Unit,Gradient Recurrent Utility,Graph Recurrent Unit,Gated Recurrent Unit,Simplified LSTM
AI & ML,Hard,What is Attention Mechanism?,Technique focusing on important input parts,Loss function,Optimizer,Pooling method,Technique focusing on important input parts,Improves sequence models
AI & ML,Hard,What is Transformer Architecture?,Deep learning model using self-attention,RNN variant,CNN variant,Clustering algorithm,Deep learning model using self-attention,Powers modern NLP
AI & ML,Hard,What model powers ChatGPT?,Transformer,RNN,CNN,KNN,Transformer,Uses attention mechanism
AI & ML,Hard,What is Self-Attention?,Mechanism relating different parts of input sequence,Pooling layer,Loss function,Regularization method,Mechanism relating different parts of input sequence,Core of transformers
AI & ML,Hard,What is BERT?,Bidirectional Encoder Representations from Transformers,Binary Encoding Representation Tool,Basic Encoder Regression Transformer,Balanced Encoder Representation Technique,Bidirectional Encoder Representations from Transformers,Google NLP model
AI & ML,Hard,What is GPT?,Generative Pre-trained Transformer,General Processing Transformer,Graph Prediction Transformer,Global Programming Tool,Generative Pre-trained Transformer,Generates human-like text
AI & ML,Hard,What is Transfer Learning in Deep Learning?,Reusing pretrained models,Moving data between systems,Feature scaling,Database migration,Reusing pretrained models,Saves training resources
AI & ML,Hard,What is Fine-Tuning?,Further training a pretrained model,Data cleaning,Model deployment,Feature selection,Further training a pretrained model,Adapts model to tasks
AI & ML,Hard,What is Embedding?,Dense vector representation of data,Database index,Loss function,Activation layer,Dense vector representation of data,Captures relationships
AI & ML,Hard,What is Word Embedding?,Vector representation of words,Word database,Text compression,Language parser,Vector representation of words,Used in NLP
AI & ML,Hard,What is Word2Vec?,Word embedding technique,Clustering algorithm,Classification model,Neural optimizer,Word embedding technique,Maps words to vectors
AI & ML,Hard,What is GloVe?,Word embedding algorithm,Loss function,Transformer layer,Regularization method,Word embedding algorithm,Global Vectors for Word Representation
AI & ML,Hard,What is Reinforcement Learning Agent?,Entity that learns through interaction,Database manager,Neural layer,Optimizer,Entity that learns through interaction,Takes actions in environment
AI & ML,Hard,What is a Reward in Reinforcement Learning?,Feedback signal for actions,Loss function,Feature value,Training sample,Feedback signal for actions,Guides learning
AI & ML,Hard,What is Q-Learning?,Reinforcement learning algorithm,Clustering method,Regression model,Classification algorithm,Reinforcement learning algorithm,Value-based learning
AI & ML,Hard,What is Deep Q Network (DQN)?,Q-Learning with Neural Networks,CNN architecture,RNN architecture,Transformer model,Q-Learning with Neural Networks,Combines RL and DL
AI & ML,Hard,What is Generative AI?,AI that creates new content,AI for classification only,AI for clustering only,AI for databases,AI that creates new content,Generates text images and more
AI & ML,Hard,What is GAN?,Generative Adversarial Network,General Artificial Network,Graph Analysis Network,Global Adversarial Node,Generative Adversarial Network,Generates realistic data
AI & ML,Hard,What are the two networks in GAN?,Generator and Discriminator,Encoder and Decoder,Input and Output,Trainer and Tester,Generator and Discriminator,Compete during training

category,difficulty,question,option1,option2,option3,option4,correct_answer,explanation
Computer Networks,Easy,What does LAN stand for?,Local Area Network,Large Area Network,Long Area Node,Light Access Network,Local Area Network,LAN connects devices in a small area
Computer Networks,Easy,Which device connects networks?,Router,Monitor,Keyboard,Printer,Router,Router connects different networks
Computer Networks,Easy,What is IP?,Internet Protocol,Internal Program,Internet Process,Input Protocol,Internet Protocol,IP is used for addressing
Computer Networks,Easy,Which is a networking device?,Switch,CPU,RAM,Hard Disk,Switch,Switch connects devices in LAN
Computer Networks,Easy,What is WAN?,Wide Area Network,Wireless Access Node,Web Area Node,World Access Network,Wide Area Network,WAN covers large geographical area
Computer Networks,Easy,Which cable is used in LAN?,Ethernet Cable,HDMI,USB,VGA,Ethernet Cable,Used for wired LAN connection
Computer Networks,Easy,What is HTTP?,Web protocol,Hardware tool,Software app,Network cable,Web protocol,HTTP is used for web communication
Computer Networks,Easy,What does DNS do?,Converts domain to IP,Deletes files,Saves data,Encrypts files,Converts domain to IP,It translates domain names
Computer Networks,Easy,Which is a browser?,Chrome,Excel,Word,Paint,Chrome,Browser is used to access internet
Computer Networks,Easy,What is modem?,Device for internet connection,Storage device,Input device,Output device,Device for internet connection,Modem connects to ISP
Computer Networks,Easy,Full form of Wi-Fi?,Wireless Fidelity,Wide Fidelity,Web Fidelity,Wireless File,Wireless Fidelity,Wi-Fi is wireless networking
Computer Networks,Easy,What is topology?,Network layout,Software type,Hardware brand,Programming language,Network layout,Topology defines structure
Computer Networks,Easy,Which is network topology?,Star,Batch,Loop Code,Stack,Star,Star is a common topology
Computer Networks,Easy,What is email used for?,Sending messages,Playing games,Editing videos,Coding,Sending messages,Email is communication tool
Computer Networks,Easy,Which device forwards packets?,Router,Mouse,Keyboard,Speaker,Router,Router forwards packets
Computer Networks,Easy,What is TCP?,Transmission Control Protocol,Transfer Copy Program,Total Control Process,Technical Control Protocol,Transmission Control Protocol,TCP ensures reliable communication
Computer Networks,Easy,What is a website?,Collection of web pages,Software,Hardware,Network device,Collection of web pages,Website contains pages
Computer Networks,Easy,What is ISP?,Internet Service Provider,Internal System Program,Internet Speed Protocol,Input Service Provider,Internet Service Provider,ISP gives internet access
Computer Networks,Easy,Which protocol is used for email?,SMTP,HTTP,FTP,DNS,SMTP,SMTP sends emails
Computer Networks,Easy,What is bandwidth?,Data transfer rate,Computer speed,Memory size,CPU speed,Data transfer rate,Bandwidth measures speed
Computer Networks,Easy,What is FTP?,File Transfer Protocol,Fast Transfer Process,File Text Program,Fixed Transfer Protocol,File Transfer Protocol,FTP transfers files
Computer Networks,Easy,Which device stores MAC address table?,Switch,Router,Modem,Hub,Switch,Switch uses MAC table
Computer Networks,Easy,What is MAC address?,Device physical address,IP address,Network speed,Software ID,Device physical address,MAC is unique hardware address
Computer Networks,Easy,What is packet?,Small data unit,Large file,Software,Hardware,Small data unit,Data is sent in packets
Computer Networks,Easy,What is cloud computing?,Internet-based computing,Offline computing,Hardware repair,Local storage,Internet-based computing,Cloud uses internet servers
Computer Networks,Easy,What is ping used for?,Check connectivity,Delete files,Install apps,Edit videos,Check connectivity,Ping tests network connection
Computer Networks,Easy,Which is a protocol?,TCP,CPU,RAM,Monitor,TCP,TCP is a network protocol
Computer Networks,Easy,What is a firewall?,Security system,Hardware cable,Router type,Printer,Security system,Firewall protects network
Computer Networks,Easy,What is internet?,Global network,Local computer,Software tool,Operating system,Global network,Internet connects worldwide devices
Computer Networks,Easy,Which layer sends data?,Application layer,Physical layer only,Random layer,User layer,Application layer,It sends data from apps
Computer Networks,Easy,What is node?,Device in network,Software,Game,File,Device in network,Node is any connected device
Computer Networks,Easy,What is router used for?,Direct data traffic,Play music,Store files,Print documents,Direct data traffic,Router directs packets
Computer Networks,Easy,What is latency?,Delay in data transfer,Speed increase,File size,Memory type,Delay in data transfer,Latency is network delay
Computer Networks,Easy,What is HTTPs?,Secure HTTP,Hardware protocol,High Transfer Process,Host Transfer Protocol,Secure HTTP,HTTPS is secure version
Computer Networks,Easy,What is LAN speed generally?,High speed,Very slow,Zero speed,Random speed,High speed,LAN is fast network
Computer Networks,Easy,What is a hub?,Basic network device,Software,Game engine,Database,Basic network device,Hub connects multiple devices
Computer Networks,Easy,What is IP address?,Device identifier,File type,Software name,Game ID,Device identifier,IP identifies device
Computer Networks,Easy,What is network?,Connected devices,Single computer,Software,Hardware,Connected devices,Network connects systems
Computer Networks,Easy,Which is wireless technology?,Wi-Fi,LAN cable,USB cable,HDMI,Wi-Fi,Wi-Fi is wireless
Computer Networks,Easy,What is browser used for?,Access internet,Edit photos,Play music,Write code,Access internet,Browser opens websites
Computer Networks,Easy,What is download?,Receive data,Send data,Delete data,Encrypt data,Receive data,Download brings data to device
Computer Networks,Easy,What is upload?,Send data,Receive data,Delete data,Format data,Send data,Upload sends data to server
Computer Networks,Easy,What is router IP?,Gateway address,File address,MAC address,Website URL,Gateway address,Router acts as gateway
Computer Networks,Easy,What is network security?,Protection of network,Game feature,Software tool,Hardware part,Protection of network,It protects data
Computer Networks,Easy,What is packet switching?,Sending data in packets,Direct transfer,Single file transfer,Manual transfer,Sending data in packets,Data is divided into packets
Computer Networks,Easy,What is email?,Electronic mail,Web page,Software,Hardware,Electronic mail,Used for communication


category,difficulty,question,option1,option2,option3,option4,correct_answer,explanation
Computer Networks,Medium,Which OSI layer handles routing?,Network Layer,Data Link Layer,Physical Layer,Session Layer,Network Layer,Routing is handled by Network Layer
Computer Networks,Medium,Which protocol is connection-oriented?,TCP,UDP,IP,HTTP,TCP,TCP ensures reliable connection
Computer Networks,Medium,UDP is used for?,Fast transmission,File storage,Encryption,Routing,Fast transmission,UDP is faster but unreliable
Computer Networks,Medium,How many layers in OSI model?,7,5,4,6,7,OSI has 7 layers
Computer Networks,Medium,Which layer is responsible for encryption?,Presentation Layer,Physical Layer,Network Layer,Data Link Layer,Presentation Layer,Handles encoding and encryption
Computer Networks,Medium,Which device works at Layer 2?,Switch,Router,Gateway,Modem,Switch,Switch operates at Data Link layer
Computer Networks,Medium,Which IP version is most used?,IPv4,IPv6,IPv3,IPv5,IPv4,IPv4 is widely used
Computer Networks,Medium,What is subnet mask used for?,Network division,File transfer,Encryption,Speed increase,Network division,It divides network into subnets
Computer Networks,Medium,Which protocol resolves IP to MAC?,ARP,RARP,DNS,HTTP,ARP,ARP maps IP to MAC
Computer Networks,Medium,Which layer sends bits?,Physical Layer,Application Layer,Session Layer,Transport Layer,Physical Layer,Handles raw bits transmission
Computer Networks,Medium,What is port number?,Service identifier,IP address,MAC address,Protocol type,Service identifier,Ports identify services
Computer Networks,Medium,Which is reliable protocol?,TCP,UDP,ICMP,IP,TCP,TCP ensures reliability
Computer Networks,Medium,What is full form of ARP?,Address Resolution Protocol,Automatic Routing Protocol,Advanced Response Protocol,Access Routing Protocol,Address Resolution Protocol,ARP maps IP to MAC
Computer Networks,Medium,What is DHCP used for?,Assign IP automatically,Encrypt data,Speed internet,Block websites,Assign IP automatically,DHCP assigns dynamic IPs
Computer Networks,Medium,What is NAT?,Network Address Translation,Network Access Tool,Node Address Table,New Access Transfer,Network Address Translation,NAT converts private to public IP
Computer Networks,Medium,Which topology uses central hub?,Star,Bus,Ring,Mesh,Star,Star topology uses central node
Computer Networks,Medium,What is DNS server?,Name to IP converter,File server,Game server,Mail server,Name to IP converter,DNS resolves domain names
Computer Networks,Medium,Which layer is responsible for session management?,Session Layer,Network Layer,Physical Layer,Data Link Layer,Session Layer,Manages sessions between devices
Computer Networks,Medium,What is checksum used for?,Error detection,Encryption,Routing,Compression,Error detection,Checks data integrity
