subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
AI & ML,Easy,What is Regression?,Predicting continuous values,Grouping data,Classification task,Sorting algorithm,Predicting continuous values,Used for numerical prediction
AI & ML,Easy,What is Classification?,Predicting categories,Predicting numbers,Grouping data,Sorting data,Predicting categories,Assigns labels
AI & ML,Easy,What is Clustering?,Grouping similar data points,Predicting values,Classification,Sorting data,Grouping similar data points,Unsupervised learning task
AI & ML,Easy,Which algorithm predicts house prices?,Linear Regression,K-Means,Apriori,DBSCAN,Linear Regression,Regression problem
AI & ML,Easy,What is overfitting?,Model learns training data too well,Model performs perfectly,Model trains quickly,Model ignores data,Model learns training data too well,Poor generalization
AI & ML,Easy,What is underfitting?,Model fails to learn patterns,Model learns too much,Model trains slowly,Model has many layers,Model fails to learn patterns,Low accuracy
AI & ML,Easy,What is bias in ML?,Error due to wrong assumptions,Data storage issue,Network error,Programming bug,Error due to wrong assumptions,Affects predictions
AI & ML,Easy,What is variance in ML?,Model sensitivity to data changes,Memory usage,Training speed,Dataset size,Model sensitivity to data changes,Can cause overfitting
AI & ML,Easy,What is training data?,Data used to train model,Data used only for testing,Backup data,Corrupted data,Data used to train model,Helps model learn
AI & ML,Easy,What is test data?,Data used for evaluation,Data used for training,Backup data,Deleted data,Data used for evaluation,Measures performance
AI & ML,Easy,What is validation data?,Data used for tuning model,Training data,Output data,Database data,Data used for tuning model,Helps select best model
AI & ML,Easy,What is Data Science?,Extracting insights from data,Web design,Networking,System administration,Extracting insights from data,Uses statistics and ML
AI & ML,Easy,What is Data Preprocessing?,Cleaning and preparing data,Training model,Deploying model,Creating hardware,Cleaning and preparing data,Improves data quality
AI & ML,Easy,What is Missing Data?,Unavailable values in dataset,Duplicate values,Correct values,Sorted values,Unavailable values in dataset,Needs handling
AI & ML,Easy,What is Feature Selection?,Choosing important features,Creating features,Deleting dataset,Training model,Choosing important features,Improves efficiency
AI & ML,Easy,What is Feature Engineering?,Creating useful features from data,Deleting features,Compressing data,Sorting features,Creating useful features from data,Improves model performance
AI & ML,Easy,What is AI Ethics?,Responsible use of AI,AI hardware design,AI programming language,AI database,Responsible use of AI,Ensures fairness and safety


AI & ML,Medium,What is Linear Regression?,Algorithm for predicting continuous values,Clustering algorithm,Classification algorithm,Sorting algorithm,Algorithm for predicting continuous values,Used for numerical prediction
AI & ML,Medium,What is Logistic Regression?,Classification algorithm,Regression algorithm only,Clustering algorithm,Reinforcement algorithm,Classification algorithm,Used for binary classification
AI & ML,Medium,What is the output of Logistic Regression?,Probability,Continuous value,Cluster ID,Decision tree,Probability,Usually between 0 and 1
AI & ML,Medium,What is the cost function in Linear Regression?,Mean Squared Error,Cross Entropy,Gini Index,Entropy,Mean Squared Error,Measures prediction error
AI & ML,Medium,What is Gradient Descent?,Optimization algorithm,Clustering technique,Data cleaning method,Feature selection method,Optimization algorithm,Used to minimize loss
AI & ML,Medium,What is Learning Rate?,Step size in optimization,Dataset size,Model accuracy,Number of features,Step size in optimization,Controls convergence speed
AI & ML,Medium,What happens if learning rate is too high?,Model may not converge,Training becomes perfect,Accuracy becomes 100%,No effect,Model may not converge,Overshoots minimum
AI & ML,Medium,What is Decision Tree?,Tree-based prediction model,Database structure,Neural network,Sorting algorithm,Tree-based prediction model,Used for classification and regression
AI & ML,Medium,What is the root node in a Decision Tree?,Topmost node,Leaf node,Child node,Internal node,Topmost node,Starting point of tree
AI & ML,Medium,What is a leaf node?,Final prediction node,Root node,Parent node,Feature node,Final prediction node,Contains output
AI & ML,Medium,What is Random Forest?,Collection of decision trees,Single decision tree,Neural network,Clustering algorithm,Collection of decision trees,Ensemble learning method
AI & ML,Medium,What is Ensemble Learning?,Combining multiple models,Using one model,Data cleaning process,Feature engineering,Combining multiple models,Improves accuracy
AI & ML,Medium,What is Bagging?,Training models on random subsets,Feature scaling,Data cleaning,Model deployment,Training models on random subsets,Used in Random Forest
AI & ML,Medium,What is Boosting?,Sequentially improving weak learners,Clustering technique,Database optimization,Feature selection,Sequentially improving weak learners,Example: AdaBoost
AI & ML,Medium,What is Support Vector Machine (SVM)?,Classification algorithm,Clustering algorithm,Database algorithm,Sorting algorithm,Classification algorithm,Finds optimal hyperplane
AI & ML,Medium,What is a Hyperplane?,Decision boundary,Neural layer,Database table,Feature vector,Decision boundary,Separates classes
AI & ML,Medium,What is K-Nearest Neighbors (KNN)?,Instance-based learning algorithm,Neural network,Decision tree,Regression only,Instance-based learning algorithm,Uses nearest neighbors
AI & ML,Medium,What does K represent in KNN?,Number of neighbors,Number of features,Number of classes,Dataset size,Number of neighbors,Affects predictions
AI & ML,Medium,What is Euclidean Distance?,Distance measure between points,Optimization function,Activation function,Loss function,Distance measure between points,Used in KNN
AI & ML,Medium,What is Feature Scaling?,Standardizing feature values,Deleting features,Creating features,Sorting features,Standardizing feature values,Improves model performance
AI & ML,Medium,What is Normalization?,Scaling values to fixed range,Removing duplicates,Reducing dimensions,Increasing features,Scaling values to fixed range,Often between 0 and 1
AI & ML,Medium,What is Standardization?,Transforming data to mean 0 and std 1,Removing noise,Scaling to 0-1,Encoding categories,Transforming data to mean 0 and std 1,Common preprocessing step
AI & ML,Medium,What is Cross Validation?,Technique for model evaluation,Data cleaning method,Feature engineering,Deployment process,Technique for model evaluation,Tests model robustness
AI & ML,Medium,What is K-Fold Cross Validation?,Data split into K parts,Data duplication,Feature scaling method,Clustering technique,Data split into K parts,Repeated training and testing
AI & ML,Medium,What is Confusion Matrix?,Table for classification evaluation,Database table,Feature matrix,Neural network layer,Table for classification evaluation,Shows prediction results
AI & ML,Medium,What is Precision?,Correct positive predictions divided by total predicted positives,Overall accuracy,Correct negatives only,Training score,Correct positive predictions divided by total predicted positives,Measures prediction quality
AI & ML,Medium,What is Recall?,Correct positive predictions divided by actual positives,Overall accuracy,False positives,Training loss,Correct positive predictions divided by actual positives,Measures completeness
AI & ML,Medium,What is F1-Score?,Harmonic mean of Precision and Recall,Average accuracy,Loss function,Activation function,Harmonic mean of Precision and Recall,Balances precision and recall
AI & ML,Medium,What is ROC Curve?,Graph of TPR vs FPR,Loss graph,Accuracy graph,Feature graph,Graph of TPR vs FPR,Evaluates classifiers
AI & ML,Medium,What is AUC?,Area Under ROC Curve,Average Utility Cost,Artificial Unit Classifier,Accuracy Utility Curve,Area Under ROC Curve,Higher is better
AI & ML,Medium,What is Dimensionality Reduction?,Reducing number of features,Increasing features,Removing labels,Data duplication,Reducing number of features,Simplifies models
AI & ML,Medium,Which algorithm is commonly used for dimensionality reduction?,PCA,KNN,SVM,Decision Tree,PCA,Principal Component Analysis
AI & ML,Medium,What does PCA stand for?,Principal Component Analysis,Primary Classification Algorithm,Pattern Clustering Analysis,Predictive Component Analysis,Principal Component Analysis,Reduces dimensions
AI & ML,Medium,What is Feature Extraction?,Creating new features from existing data,Deleting features,Scaling features,Sorting features,Creating new features from existing data,Improves model quality
AI & ML,Medium,What is One-Hot Encoding?,Converting categorical data into binary vectors,Scaling data,Removing duplicates,Normalizing data,Converting categorical data into binary vectors,Used for ML preprocessing
AI & ML,Medium,What is Label Encoding?,Converting categories to numbers,Removing labels,Scaling features,Creating labels,Converting categories to numbers,Useful for categorical data
AI & ML,Medium,What is Data Leakage?,Using information unavailable during prediction,Data duplication,Missing values,Incorrect labels,Using information unavailable during prediction,Leads to misleading performance
AI & ML,Medium,What is Class Imbalance?,Unequal distribution of classes,Equal class distribution,Feature scaling issue,Model deployment issue,Unequal distribution of classes,Can affect model accuracy
AI & ML,Medium,What is Oversampling?,Increasing minority class samples,Removing features,Scaling data,Reducing dimensions,Increasing minority class samples,Balances dataset
AI & ML,Medium,What is Undersampling?,Reducing majority class samples,Adding features,Scaling values,Encoding categories,Reducing majority class samples,Balances classes
AI & ML,Medium,What is Grid Search?,Hyperparameter tuning technique,Feature selection method,Clustering algorithm,Loss function,Hyperparameter tuning technique,Tests parameter combinations
AI & ML,Medium,What is Hyperparameter?,Parameter set before training,Learned parameter,Output value,Feature value,Parameter set before training,Tuned manually or automatically
AI & ML,Medium,What is Model Tuning?,Optimizing model parameters,Cleaning data,Deploying model,Collecting data,Optimizing model parameters,Improves performance
AI & ML,Medium,What is Regularization?,Technique to reduce overfitting,Increase overfitting,Scale features,Normalize data,Technique to reduce overfitting,Improves generalization
AI & ML,Medium,Which regularization uses absolute values?,L1 Regularization,L2 Regularization,Dropout,Batch Norm,L1 Regularization,Also called Lasso
AI & ML,Medium,Which regularization uses squared values?,L2 Regularization,L1 Regularization,Dropout,PCA,L2 Regularization,Also called Ridge
AI & ML,Medium,What is Bias-Variance Tradeoff?,Balancing underfitting and overfitting,Data scaling technique,Feature engineering method,Loss optimization,Balancing underfitting and overfitting,Key ML concept
AI & ML,Medium,What is Online Learning?,Model learns continuously from new data,Offline training only,Batch processing,Data cleaning,Model learns continuously from new data,Useful for streaming data
AI & ML,Medium,What is Batch Learning?,Model trained on entire dataset at once,Online learning,Reinforcement learning,Transfer learning,Model trained on entire dataset at once,Traditional ML approach
AI & ML,Medium,What is Transfer Learning?,Using knowledge from one model for another task,Moving datasets,Feature scaling,Model deletion,Using knowledge from one model for another task,Saves training time


AI & ML,Hard,What is a Neural Network Layer?,Collection of neurons performing computations,Database layer,Network protocol,Memory layer,Collection of neurons performing computations,Building block of neural networks
AI & ML,Hard,What is an Input Layer?,First layer receiving data,Last layer,Hidden layer,Output layer,First layer receiving data,Accepts features
AI & ML,Hard,What is a Hidden Layer?,Intermediate layer between input and output,Input layer,Output layer,Database layer,Intermediate layer between input and output,Performs transformations
AI & ML,Hard,What is an Output Layer?,Final layer producing prediction,Input layer,Hidden layer,Data layer,Final layer producing prediction,Returns model result
AI & ML,Hard,What is an Activation Function?,Function introducing non-linearity,Loss function,Optimizer,Feature selector,Function introducing non-linearity,Enables complex learning
AI & ML,Hard,Which activation function outputs values between 0 and 1?,Sigmoid,ReLU,Tanh,Softmax,Sigmoid,Common in binary classification
AI & ML,Hard,Which activation function returns max(0,x)?,ReLU,Sigmoid,Tanh,Linear,ReLU,Widely used in deep learning
AI & ML,Hard,What does ReLU stand for?,Rectified Linear Unit,Reduced Learning Unit,Regression Linear Unit,Recursive Logic Unit,Rectified Linear Unit,Popular activation function
AI & ML,Hard,What is Tanh?,Activation function ranging from -1 to 1,Loss function,Optimizer,Regularization method,Activation function ranging from -1 to 1,Hyperbolic tangent
AI & ML,Hard,What is Softmax used for?,Multi-class classification output,Regression output,Clustering,Feature scaling,Multi-class classification output,Produces probabilities
AI & ML,Hard,What is Backpropagation?,Algorithm for training neural networks,Clustering method,Data cleaning process,Feature selection method,Algorithm for training neural networks,Updates weights
AI & ML,Hard,What is a Weight in Neural Networks?,Parameter controlling input importance,Feature value,Dataset row,Activation function,Parameter controlling input importance,Learned during training
AI & ML,Hard,What is a Bias in Neural Networks?,Additional trainable parameter,Dataset error,Loss value,Output label,Additional trainable parameter,Shifts activation function
AI & ML,Hard,What is Epoch?,One complete pass through training data,Single prediction,Hidden layer,Batch size,One complete pass through training data,Training iteration
AI & ML,Hard,What is Batch Size?,Number of samples processed before weight update,Dataset size,Feature count,Neuron count,Number of samples processed before weight update,Affects training speed
AI & ML,Hard,What is Stochastic Gradient Descent (SGD)?,Gradient descent using one sample at a time,Using full dataset,Clustering method,Feature selection,Gradient descent using one sample at a time,Faster updates
AI & ML,Hard,What is Mini-Batch Gradient Descent?,Uses small groups of samples,Uses entire dataset,Uses one sample only,No training,Uses small groups of samples,Common optimization method
AI & ML,Hard,What is Loss Function?,Measures prediction error,Activation function,Optimizer,Feature selector,Measures prediction error,Guides learning
AI & ML,Hard,Which loss is common for classification?,Cross Entropy Loss,MSE,MAE,RMSE,Cross Entropy Loss,Measures classification error
AI & ML,Hard,Which loss is common for regression?,Mean Squared Error,Cross Entropy,Hinge Loss,Log Loss,Mean Squared Error,Measures squared prediction error
AI & ML,Hard,What is Overfitting in Deep Learning?,Model memorizes training data,Model learns nothing,Model trains quickly,Model uses fewer features,Model memorizes training data,Poor test performance
AI & ML,Hard,What is Dropout?,Regularization technique that randomly disables neurons,Optimizer,Loss function,Feature selector,Regularization technique that randomly disables neurons,Reduces overfitting
AI & ML,Hard,What is Batch Normalization?,Normalizes activations during training,Data cleaning,Feature scaling only,Clustering method,Normalizes activations during training,Improves convergence
AI & ML,Hard,What is CNN?,Convolutional Neural Network,Computer Neural Node,Central Neural Network,Connected Neural Net,Convolutional Neural Network,Used in image processing
AI & ML,Hard,What is Convolution in CNN?,Operation extracting features from input,Loss calculation,Weight initialization,Model evaluation,Operation extracting features from input,Detects patterns
AI & ML,Hard,What is Pooling in CNN?,Reducing feature map dimensions,Increasing image size,Adding neurons,Training optimization,Reducing feature map dimensions,Reduces computation
AI & ML,Hard,Which pooling method selects maximum value?,Max Pooling,Average Pooling,Min Pooling,Global Pooling,Max Pooling,Most common pooling method
AI & ML,Hard,What is RNN?,Recurrent Neural Network,Random Neural Network,Recursive Neural Network,Regression Neural Network,Recurrent Neural Network,Used for sequential data
AI & ML,Hard,What is LSTM?,Long Short-Term Memory,Linear State Transfer Model,Long Sequence Training Method,Learning State Transition Machine,Long Short-Term Memory,Special type of RNN
AI & ML,Hard,What problem does LSTM solve?,Vanishing Gradient Problem,Overfitting,Underfitting,Class imbalance,Vanishing Gradient Problem,Handles long-term dependencies
AI & ML,Hard,What is GRU?,Gated Recurrent Unit,General Recursive Unit,Gradient Recurrent Utility,Graph Recurrent Unit,Gated Recurrent Unit,Simplified LSTM
AI & ML,Hard,What is Attention Mechanism?,Technique focusing on important input parts,Loss function,Optimizer,Pooling method,Technique focusing on important input parts,Improves sequence models
AI & ML,Hard,What is Transformer Architecture?,Deep learning model using self-attention,RNN variant,CNN variant,Clustering algorithm,Deep learning model using self-attention,Powers modern NLP
AI & ML,Hard,What model powers ChatGPT?,Transformer,RNN,CNN,KNN,Transformer,Uses attention mechanism
AI & ML,Hard,What is Self-Attention?,Mechanism relating different parts of input sequence,Pooling layer,Loss function,Regularization method,Mechanism relating different parts of input sequence,Core of transformers
AI & ML,Hard,What is BERT?,Bidirectional Encoder Representations from Transformers,Binary Encoding Representation Tool,Basic Encoder Regression Transformer,Balanced Encoder Representation Technique,Bidirectional Encoder Representations from Transformers,Google NLP model
AI & ML,Hard,What is GPT?,Generative Pre-trained Transformer,General Processing Transformer,Graph Prediction Transformer,Global Programming Tool,Generative Pre-trained Transformer,Generates human-like text
AI & ML,Hard,What is Transfer Learning in Deep Learning?,Reusing pretrained models,Moving data between systems,Feature scaling,Database migration,Reusing pretrained models,Saves training resources
AI & ML,Hard,What is Fine-Tuning?,Further training a pretrained model,Data cleaning,Model deployment,Feature selection,Further training a pretrained model,Adapts model to tasks
AI & ML,Hard,What is Embedding?,Dense vector representation of data,Database index,Loss function,Activation layer,Dense vector representation of data,Captures relationships
AI & ML,Hard,What is Word Embedding?,Vector representation of words,Word database,Text compression,Language parser,Vector representation of words,Used in NLP
AI & ML,Hard,What is Word2Vec?,Word embedding technique,Clustering algorithm,Classification model,Neural optimizer,Word embedding technique,Maps words to vectors
AI & ML,Hard,What is GloVe?,Word embedding algorithm,Loss function,Transformer layer,Regularization method,Word embedding algorithm,Global Vectors for Word Representation
AI & ML,Hard,What is Reinforcement Learning Agent?,Entity that learns through interaction,Database manager,Neural layer,Optimizer,Entity that learns through interaction,Takes actions in environment
AI & ML,Hard,What is a Reward in Reinforcement Learning?,Feedback signal for actions,Loss function,Feature value,Training sample,Feedback signal for actions,Guides learning
AI & ML,Hard,What is Q-Learning?,Reinforcement learning algorithm,Clustering method,Regression model,Classification algorithm,Reinforcement learning algorithm,Value-based learning
AI & ML,Hard,What is Deep Q Network (DQN)?,Q-Learning with Neural Networks,CNN architecture,RNN architecture,Transformer model,Q-Learning with Neural Networks,Combines RL and DL
AI & ML,Hard,What is Generative AI?,AI that creates new content,AI for classification only,AI for clustering only,AI for databases,AI that creates new content,Generates text images and more
AI & ML,Hard,What is GAN?,Generative Adversarial Network,General Artificial Network,Graph Analysis Network,Global Adversarial Node,Generative Adversarial Network,Generates realistic data
AI & ML,Hard,What are the two networks in GAN?,Generator and Discriminator,Encoder and Decoder,Input and Output,Trainer and Tester,Generator and Discriminator,Compete during training
